lead_id,company,category,channel,owner,signal_score,created_date,stage,mql_date,sql_date,opp_date,closed_date,deal_value_monthly_usd,outcome,lost_reason
1111,Marigold Supply Co,Home,Signal-scored inbound,R. Iyer,6.68,2026-02-26,SQL,2026-02-28,2026-03-08,,,,,
1112,Northfield Works II,Home,Signal-scored inbound,S. Kapoor,4.65,2026-02-09,Lead,,,,,,,
1113,Larkspur Studio,Skin,Cold email sequence,A. Chouhan,3.48,2026-02-12,Lead,,,,,,,
1114,Verdant Supply Co,Skin,Outbound LinkedIn,R. Iyer,4.29,2026-02-13,Lead,,,,,,,
1115,Glow Ritual Outdoor,Pet,Outbound LinkedIn,S. Kapoor,4.92,2026-02-23,MQL,2026-03-01,,,,,,
1116,Hearthstone Gadgets,Outdoor,Referral,R. Iyer,8.04,2026-02-08,Lead,,,,,,,
1117,Marigold Outdoor,Gadgets,Cold email sequence,S. Kapoor,7.91,2026-02-25,Lead,,,,,,,
1118,Basalt Skin Co,Baby,Referral,S. Kapoor,3.26,2026-02-26,Lead,,,,,,,
1119,Windrow Collective,Home,Signal-scored inbound,R. Iyer,5.12,2026-02-14,MQL,2026-02-16,,,,,,
1120,Larkspur Collective,Skin,Referral,R. Iyer,8.94,2026-02-16,Lead,,,,,,,
1121,Verdant Living,Baby,Outbound LinkedIn,A. Chouhan,3.91,2026-02-08,Lead,,,,,,,
1122,Silverline Goods Co,Kitchen,Signal-scored inbound,R. Iyer,3.09,2026-02-18,MQL,2026-02-21,,,,,,
1123,Rosemere Pet Supply,Pet,Referral,R. Iyer,3.7,2026-02-08,Lead,,,,,,,
1124,Cobalt Living,Gadgets,Cold email sequence,S. Kapoor,8.36,2026-02-23,SQL,2026-02-27,2026-03-01,,,,,
1125,Verdant Works,Baby,Signal-scored inbound,S. Kapoor,3.88,2026-02-15,MQL,2026-02-21,,,,,,
1126,Amberlight Supply Co II,Home,Referral,S. Kapoor,3.64,2026-02-16,Lead,,,,,,,
1127,Lumen Gadgets II,Kitchen,Signal-scored inbound,R. Iyer,9.18,2026-02-28,MQL,2026-03-06,,,,,,
1128,Larkspur Collective II,Beauty,Outbound LinkedIn,A. Chouhan,9.29,2026-02-28,Lead,,,,,,,
1129,Tiny Sprout Kitchen Co,Beauty,Signal-scored inbound,R. Iyer,4.58,2026-02-05,Lead,,,,,,,
1130,Cascade Baby,Gadgets,Outbound LinkedIn,A. Chouhan,5.14,2026-02-05,Lead,,,,,,,
1131,Cobalt Home Co II,Skin,Referral,A. Chouhan,9.42,2026-02-18,Closed Won,2026-02-20,2026-02-22,2026-03-02,2026-03-21,2200,Won,
1132,Solace Home Co,Home,Signal-scored inbound,A. Chouhan,7.82,2026-02-17,MQL,2026-02-18,,,,,,
1133,Foxglove Collective,Baby,Outbound LinkedIn,A. Chouhan,9.15,2026-02-02,Lead,,,,,,,
1134,Opaline Naturals,Outdoor,Cold email sequence,A. Chouhan,3.4,2026-02-16,Lead,,,,,,,
1135,Driftwood Beauty II,Outdoor,Cold email sequence,R. Iyer,3.48,2026-02-03,SQL,2026-02-05,2026-02-11,,,,,
1136,Windrow Living III,Pet,Content/organic,S. Kapoor,4.92,2026-02-17,Lead,,,,,,,
1137,Glow Ritual Beauty,Gadgets,Outbound LinkedIn,A. Chouhan,5.69,2026-02-27,Lead,,,,,,,
1138,Driftwood Beauty III,Kitchen,Outbound LinkedIn,S. Kapoor,4.66,2026-02-05,Lead,,,,,,,
1139,Meridian Baby II,Baby,Referral,A. Chouhan,5.81,2026-02-24,Lead,,,,,,,
1140,Wren & Co Skin Co,Beauty,Outbound LinkedIn,S. Kapoor,6.65,2026-02-22,MQL,2026-02-25,,,,,,
1141,Foxglove Supply Co,Beauty,Content/organic,S. Kapoor,5.03,2026-02-04,Lead,,,,,,,
1142,Cascade Skin Co,Outdoor,Signal-scored inbound,A. Chouhan,5.28,2026-02-18,MQL,2026-02-21,,,,,,
1143,Wren & Co Supply Co,Beauty,Outbound LinkedIn,S. Kapoor,8.39,2026-02-09,MQL,2026-02-12,,,,,,
1144,Verdant Living II,Kitchen,Signal-scored inbound,A. Chouhan,6.68,2026-02-13,MQL,2026-02-19,,,,,,
1145,Hearthstone Baby,Gadgets,Outbound LinkedIn,R. Iyer,5.22,2026-02-12,MQL,2026-02-15,,,,,,
1146,Windrow Baby,Beauty,Signal-scored inbound,S. Kapoor,3.32,2026-02-03,MQL,2026-02-09,,,,,,
1147,Cobalt Studio,Pet,Signal-scored inbound,S. Kapoor,3.74,2026-02-14,MQL,2026-02-20,,,,,,
1148,Meridian Naturals II,Beauty,Signal-scored inbound,S. Kapoor,3.36,2026-02-07,MQL,2026-02-09,,,,,,
1149,Foxglove Pet Supply,Skin,Signal-scored inbound,A. Chouhan,6.23,2026-02-14,MQL,2026-02-18,,,,,,
1150,Northfield Collective,Baby,Outbound LinkedIn,S. Kapoor,3.27,2026-02-01,Lead,,,,,,,
1151,Tiny Sprout Living,Pet,Outbound LinkedIn,S. Kapoor,7.16,2026-02-10,MQL,2026-02-11,,,,,,
1152,Bluebell Studio,Kitchen,Signal-scored inbound,A. Chouhan,4.58,2026-02-19,MQL,2026-02-20,,,,,,
1153,Verdant Living III,Gadgets,Signal-scored inbound,A. Chouhan,3.5,2026-02-21,MQL,2026-02-26,,,,,,
1154,Foxglove Collective II,Kitchen,Cold email sequence,S. Kapoor,8.3,2026-02-08,SQL,2026-02-11,2026-02-15,,,,,
1155,Pinehaven Baby,Home,Content/organic,S. Kapoor,6.21,2026-02-25,Lead,,,,,,,
1156,Windrow Studio,Kitchen,Referral,S. Kapoor,5.05,2026-02-15,MQL,2026-02-19,,,,,,
1157,Wren & Co Pet Supply,Beauty,Outbound LinkedIn,A. Chouhan,5.02,2026-02-15,MQL,2026-02-18,,,,,,
1158,Tiny Sprout Baby,Pet,Outbound LinkedIn,S. Kapoor,9.2,2026-02-24,Lead,,,,,,,
1159,Halcyon Kitchen Co,Kitchen,Outbound LinkedIn,S. Kapoor,3.98,2026-02-02,Lead,,,,,,,
1160,Wren & Co Living,Baby,Outbound LinkedIn,A. Chouhan,3.25,2026-02-23,Lead,,,,,,,
1161,Halcyon Baby Goods,Kitchen,Outbound LinkedIn,R. Iyer,5.52,2026-02-25,Closed Lost,2026-03-02,2026-03-09,2026-03-13,2026-03-30,1500,Lost,Timing not right
1162,Silverline Skin Co,Kitchen,Signal-scored inbound,S. Kapoor,3.92,2026-02-12,MQL,2026-02-18,,,,,,
1163,Ember Skin Co,Baby,Signal-scored inbound,R. Iyer,7.18,2026-02-11,Lead,,,,,,,
1164,Rosemere Baby,Pet,Outbound LinkedIn,A. Chouhan,5.36,2026-02-06,Lead,,,,,,,
1165,Solace Works,Gadgets,Signal-scored inbound,A. Chouhan,4.01,2026-02-10,Lead,,,,,,,
1166,Glow Ritual Gadgets,Kitchen,Referral,S. Kapoor,3.85,2026-02-13,MQL,2026-02-15,,,,,,
1167,Foxglove Baby Goods II,Outdoor,Signal-scored inbound,R. Iyer,7.4,2026-02-08,Lead,,,,,,,
1168,Cobalt Naturals,Outdoor,Signal-scored inbound,A. Chouhan,5.01,2026-02-26,Lead,,,,,,,
1169,Larkspur Kitchen Co,Kitchen,Cold email sequence,S. Kapoor,9.4,2026-02-15,Lead,,,,,,,
1170,Foxglove Goods Co,Pet,Content/organic,A. Chouhan,8.21,2026-02-05,Lead,,,,,,,
1171,Voltix Works,Kitchen,Outbound LinkedIn,A. Chouhan,7.62,2026-02-17,Lead,,,,,,,
1172,Verdant Baby,Home,Signal-scored inbound,S. Kapoor,3.96,2026-02-14,MQL,2026-02-16,,,,,,
1173,Larkspur Collective III,Beauty,Outbound LinkedIn,R. Iyer,6.26,2026-02-08,MQL,2026-02-09,,,,,,
1174,Hearthstone Living,Baby,Referral,S. Kapoor,5.18,2026-02-05,MQL,2026-02-08,,,,,,
1175,Meridian Skin Co,Outdoor,Outbound LinkedIn,A. Chouhan,8.89,2026-02-01,MQL,2026-02-03,,,,,,
1176,Silverline Supply Co II,Baby,Cold email sequence,A. Chouhan,4.96,2026-02-02,MQL,2026-02-08,,,,,,
1177,Halcyon Baby,Baby,Referral,R. Iyer,6.88,2026-02-01,Lead,,,,,,,
1178,Windrow Outdoor,Home,Signal-scored inbound,A. Chouhan,7.0,2026-02-08,Lead,,,,,,,
1179,Bluebell Baby,Kitchen,Signal-scored inbound,S. Kapoor,6.54,2026-02-26,Lead,,,,,,,
1180,Amberlight Home Co,Pet,Referral,A. Chouhan,7.13,2026-02-12,MQL,2026-02-13,,,,,,
1181,Tiny Sprout Collective,Gadgets,Cold email sequence,S. Kapoor,3.67,2026-02-19,Lead,,,,,,,
1182,Solace Skin Co,Beauty,Outbound LinkedIn,R. Iyer,8.29,2026-02-06,Lead,,,,,,,
1183,Rosemere Studio,Outdoor,Cold email sequence,A. Chouhan,3.41,2026-02-25,Lead,,,,,,,
1184,Voltix Naturals,Gadgets,Signal-scored inbound,A. Chouhan,8.76,2026-02-11,Lead,,,,,,,
1185,Thistle Goods Co,Outdoor,Signal-scored inbound,S. Kapoor,4.24,2026-02-12,Lead,,,,,,,
1186,Voltix Living II,Skin,Signal-scored inbound,R. Iyer,5.84,2026-02-13,Lead,,,,,,,
1187,Larkspur Goods Co,Kitchen,Content/organic,R. Iyer,7.5,2026-02-12,Lead,,,,,,,
1188,Thistle Pet Supply II,Baby,Cold email sequence,A. Chouhan,5.8,2026-02-27,MQL,2026-03-02,,,,,,
1189,Tiny Sprout Living II,Skin,Signal-scored inbound,S. Kapoor,7.66,2026-02-06,Lead,,,,,,,
1190,Marigold Studio II,Beauty,Cold email sequence,R. Iyer,7.0,2026-02-14,Closed Lost,2026-02-15,2026-02-23,2026-02-28,2026-03-09,600,Lost,Below deal-size floor
1191,Wren & Co Studio,Beauty,Signal-scored inbound,A. Chouhan,8.06,2026-02-12,SQL,2026-02-17,2026-02-21,,,,,
1192,Marigold Collective,Outdoor,Cold email sequence,S. Kapoor,3.9,2026-02-12,MQL,2026-02-18,,,,,,
1193,Glow Ritual Home Co II,Home,Outbound LinkedIn,R. Iyer,8.94,2026-02-04,MQL,2026-02-07,,,,,,
1194,Cascade Naturals,Outdoor,Signal-scored inbound,A. Chouhan,8.54,2026-02-15,MQL,2026-02-21,,,,,,
1195,Tiny Sprout Living III,Kitchen,Cold email sequence,S. Kapoor,6.52,2026-02-10,Lead,,,,,,,
1196,Coral & Co Baby Goods,Kitchen,Outbound LinkedIn,A. Chouhan,9.4,2026-02-26,SQL,2026-03-02,2026-03-12,,,,,
1197,Halcyon Skin Co,Baby,Signal-scored inbound,R. Iyer,9.5,2026-02-24,MQL,2026-02-28,,,,,,
1198,Basalt Baby III,Home,Content/organic,S. Kapoor,3.48,2026-02-15,Lead,,,,,,,
1199,Marigold Skin Co,Home,Cold email sequence,A. Chouhan,5.81,2026-02-28,MQL,2026-03-01,,,,,,
1200,Verdant Baby Goods,Home,Signal-scored inbound,S. Kapoor,4.47,2026-02-17,Lead,,,,,,,
1201,Cinderwood Baby,Skin,Signal-scored inbound,S. Kapoor,4.78,2026-02-21,SQL,2026-02-26,2026-03-02,,,,,
1202,Windrow Skin Co,Home,Cold email sequence,S. Kapoor,8.86,2026-02-11,Lead,,,,,,,
1203,Windrow Gadgets,Beauty,Signal-scored inbound,S. Kapoor,8.01,2026-02-09,Lead,,,,,,,
1204,Foxglove Supply Co II,Beauty,Outbound LinkedIn,S. Kapoor,6.55,2026-02-21,Lead,,,,,,,
1205,Meridian Outdoor,Pet,Signal-scored inbound,A. Chouhan,7.48,2026-02-06,MQL,2026-02-10,,,,,,
1206,Solace Skin Co II,Kitchen,Referral,R. Iyer,7.77,2026-02-28,SQL,2026-03-04,2026-03-11,,,,,
1207,Glow Ritual Living,Gadgets,Outbound LinkedIn,R. Iyer,5.92,2026-02-05,MQL,2026-02-08,,,,,,
1208,Cinderwood Supply Co II,Gadgets,Content/organic,A. Chouhan,8.29,2026-02-19,Lead,,,,,,,
1209,Cascade Baby Goods,Outdoor,Content/organic,R. Iyer,6.24,2026-02-10,Lead,,,,,,,
1210,Tiny Sprout Goods Co,Outdoor,Content/organic,A. Chouhan,6.79,2026-02-02,MQL,2026-02-06,,,,,,
1211,Basalt Works,Skin,Outbound LinkedIn,A. Chouhan,5.8,2026-02-09,Lead,,,,,,,
1212,Foxglove Goods Co II,Kitchen,Signal-scored inbound,A. Chouhan,6.71,2026-02-07,SQL,2026-02-10,2026-02-20,,,,,
1213,Amberlight Pet Supply,Baby,Signal-scored inbound,A. Chouhan,5.56,2026-02-26,Lead,,,,,,,
1214,Amberlight Collective,Home,Signal-scored inbound,S. Kapoor,5.61,2026-02-02,MQL,2026-02-04,,,,,,
1215,Wren & Co Works,Outdoor,Signal-scored inbound,S. Kapoor,3.91,2026-02-20,MQL,2026-02-24,,,,,,
1216,Silverline Naturals,Kitchen,Outbound LinkedIn,S. Kapoor,6.46,2026-02-23,Lead,,,,,,,
1217,Meridian Home Co,Kitchen,Signal-scored inbound,A. Chouhan,9.37,2026-02-19,MQL,2026-02-25,,,,,,
1218,Pinehaven Home Co II,Outdoor,Signal-scored inbound,S. Kapoor,8.09,2026-02-25,Lead,,,,,,,
1219,Northfield Gadgets,Outdoor,Signal-scored inbound,S. Kapoor,7.69,2026-02-25,Lead,,,,,,,
1220,Aurora Outdoor,Beauty,Outbound LinkedIn,S. Kapoor,3.71,2026-02-01,Lead,,,,,,,
1221,Driftwood Skin Co,Pet,Cold email sequence,R. Iyer,6.26,2026-02-20,Lead,,,,,,,
1222,Cinderwood Gadgets,Home,Outbound LinkedIn,S. Kapoor,5.11,2026-02-22,Lead,,,,,,,
1223,Ember Living II,Home,Outbound LinkedIn,S. Kapoor,5.23,2026-02-12,Lead,,,,,,,
1224,Cinderwood Pet Supply,Outdoor,Signal-scored inbound,A. Chouhan,4.81,2026-02-10,MQL,2026-02-13,,,,,,
1225,Coral & Co Kitchen Co,Outdoor,Signal-scored inbound,R. Iyer,6.64,2026-02-26,Lead,,,,,,,
1226,Verdant Beauty,Pet,Referral,R. Iyer,8.32,2026-02-25,Lead,,,,,,,
1227,Verdant Gadgets II,Skin,Content/organic,A. Chouhan,5.25,2026-02-15,Lead,,,,,,,
1228,Silverline Works II,Gadgets,Signal-scored inbound,S. Kapoor,4.76,2026-02-18,Lead,,,,,,,
1229,Aurora Beauty,Gadgets,Signal-scored inbound,S. Kapoor,8.88,2026-02-08,Lead,,,,,,,
