lead_id,company_name,category,industry,employee_band,segment,icp_fit_score,source_channel,created_date,stage,signal_score,engagement_score,lead_score,owner_rep,mql_date,sql_date,opp_created_date,deal_value_monthly_usd,closed_date,outcome,lost_reason
1025,Driftwood Naturals,Skin,Health & Beauty,51-200,Beachhead,78.75,Cold email sequence,2026-02-15,MQL,9.5,4.2,72.6,A. Chouhan,2026-02-17,,,,,,
1026,Opaline Pet Supply,Baby,Home & Family,11-50,Beachhead,80.95,Cold email sequence,2026-02-23,Lead,4.38,7.0,66.52,R. Iyer,,,,,,,
1027,Rosemere Home Co,Baby,Home & Family,1-10,Beachhead,87.25,Outbound LinkedIn,2026-02-20,MQL,4.9,4.2,62.2,S. Kapoor,2026-02-23,,,,,,
1028,Larkspur Outdoor,Kitchen,Home & Family,51-200,Core ICP,58.08,Signal-scored inbound,2026-02-15,Lead,7.23,7.0,65.92,A. Chouhan,,,,,,,
1029,Halcyon Works,Home,Home & Family,51-200,Core ICP,63.75,Outbound LinkedIn,2026-02-07,Lead,9.5,2.8,62.4,A. Chouhan,,,,,,,
1030,Coral & Co Naturals,Home,Home & Family,11-50,Core ICP,69.47,Content/organic,2026-02-15,Lead,5.79,2.8,53.56,R. Iyer,,,,,,,
1031,Amberlight Goods Co,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,57.02,Outbound LinkedIn,2026-02-28,Lead,4.81,2.8,45.64,S. Kapoor,,,,,,,
1032,Aurora Baby,Pet,Lifestyle & Outdoor,51-200,Adjacent,39.03,Cold email sequence,2026-02-01,Lead,5.61,2.8,40.84,A. Chouhan,,,,,,,
1033,Coral & Co Naturals,Home,Home & Family,11-50,Core ICP,69.47,Signal-scored inbound,2026-02-01,SQL,5.79,4.2,57.76,R. Iyer,2026-02-05,2026-02-15,,,,,
1034,Rosemere Home Co II,Skin,Health & Beauty,11-50,Beachhead,88.72,Signal-scored inbound,2026-02-08,MQL,7.49,5.6,74.76,S. Kapoor,2026-02-11,,,,,,
1035,Cobalt Pet Supply,Gadgets,Consumer Electronics,11-50,Core ICP,65.72,Signal-scored inbound,2026-02-20,MQL,4.29,4.2,51.76,A. Chouhan,2026-02-26,,,,,,
1036,Solace Beauty,Skin,Health & Beauty,11-50,Beachhead,86.5,Outbound LinkedIn,2026-02-27,Lead,6.6,5.6,71.2,R. Iyer,,,,,,,
1037,Amberlight Goods Co,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,57.02,Outbound LinkedIn,2026-02-21,Lead,4.81,7.0,58.24,S. Kapoor,,,,,,,
1038,Silverline Skin Co II,Pet,Lifestyle & Outdoor,11-50,Core ICP,51.9,Referral,2026-02-13,Lead,4.76,2.8,43.44,A. Chouhan,,,,,,,
1039,Pinehaven Home Co,Baby,Home & Family,11-50,Beachhead,79.88,Signal-scored inbound,2026-02-28,SQL,3.95,7.0,64.8,S. Kapoor,2026-03-05,2026-03-09,,,,,
1040,Glow Ritual Studio,Kitchen,Home & Family,11-50,Core ICP,69.22,Outbound LinkedIn,2026-02-16,MQL,5.69,2.8,53.16,A. Chouhan,2026-02-22,,,,,,
1041,Cobalt Naturals,Kitchen,Home & Family,1-10,Beachhead,80.88,Signal-scored inbound,2026-02-20,MQL,8.35,5.6,74.2,R. Iyer,2026-02-24,,,,,,
1042,Windrow Living,Home,Home & Family,11-50,Core ICP,67.08,Outbound LinkedIn,2026-02-24,MQL,4.83,2.8,49.72,R. Iyer,2026-03-02,,,,,,
1043,Foxglove Home Co,Pet,Lifestyle & Outdoor,51-200,Adjacent,42.02,Cold email sequence,2026-02-19,MQL,6.81,4.2,49.84,S. Kapoor,2026-02-23,,,,,,
1044,Rosemere Home Co II,Skin,Health & Beauty,11-50,Beachhead,88.72,Cold email sequence,2026-02-22,MQL,7.49,4.2,70.56,A. Chouhan,2026-02-26,,,,,,
1045,Verdant Kitchen Co,Beauty,Health & Beauty,1-10,Beachhead,87.9,Cold email sequence,2026-02-02,Lead,5.16,5.6,67.44,R. Iyer,,,,,,,
1046,Driftwood Naturals II,Pet,Lifestyle & Outdoor,11-50,Adjacent,47.5,Signal-scored inbound,2026-02-19,Lead,3.0,4.2,40.6,S. Kapoor,,,,,,,
1047,Tiny Sprout Beauty,Kitchen,Home & Family,11-50,Beachhead,75.25,Signal-scored inbound,2026-02-24,SQL,8.1,7.0,75.4,A. Chouhan,2026-03-02,2026-03-11,,,,,
1048,Thistle Goods Co,Baby,Home & Family,11-50,Beachhead,85.95,Outbound LinkedIn,2026-02-27,MQL,6.38,7.0,74.52,A. Chouhan,2026-03-01,,,,,,
1049,Silverline Skin Co III,Pet,Lifestyle & Outdoor,1-10,Core ICP,63.33,Cold email sequence,2026-02-03,Lead,7.33,7.0,68.32,R. Iyer,,,,,,,
1050,Verdant Beauty,Home,Home & Family,1-10,Beachhead,71.72,Signal-scored inbound,2026-02-07,Lead,4.69,7.0,63.76,S. Kapoor,,,,,,,
1051,Cascade Collective,Outdoor,Lifestyle & Outdoor,51-200,Adjacent,38.12,Referral,2026-02-10,MQL,5.25,7.0,52.0,A. Chouhan,2026-02-12,,,,,,
1052,Aurora Gadgets,Kitchen,Home & Family,11-50,Beachhead,72.17,Signal-scored inbound,2026-02-27,MQL,6.87,7.0,70.48,R. Iyer,2026-03-03,,,,,,
1053,Amberlight Home Co,Baby,Home & Family,201-500,Core ICP,55.23,Signal-scored inbound,2026-02-17,Lead,4.09,7.0,55.36,S. Kapoor,,,,,,,
1054,Basalt Works,Skin,Health & Beauty,11-50,Beachhead,85.12,Referral,2026-02-02,MQL,6.05,7.0,73.2,A. Chouhan,2026-02-04,,,,,,
1055,Halcyon Collective,Pet,Lifestyle & Outdoor,1-10,Core ICP,60.48,Signal-scored inbound,2026-02-15,MQL,6.19,7.0,63.76,R. Iyer,2026-02-21,,,,,,
1056,Meridian Goods Co,Beauty,Health & Beauty,11-50,Beachhead,90.5,Signal-scored inbound,2026-02-08,MQL,8.2,7.0,81.8,R. Iyer,2026-02-09,,,,,,
1057,Marigold Studio,Kitchen,Home & Family,11-50,Beachhead,73.0,Cold email sequence,2026-02-26,MQL,7.2,4.2,63.4,S. Kapoor,2026-03-04,,,,,,
1058,Bluebell Living,Home,Home & Family,1-10,Beachhead,76.45,Cold email sequence,2026-02-27,Lead,6.58,7.0,71.32,A. Chouhan,,,,,,,
1059,Amberlight Naturals,Outdoor,Lifestyle & Outdoor,51-200,Adjacent,40.05,Signal-scored inbound,2026-02-20,Lead,6.02,5.6,50.88,R. Iyer,,,,,,,
1060,Voltix Naturals,Gadgets,Consumer Electronics,1-10,Beachhead,81.85,Signal-scored inbound,2026-02-04,Lead,8.74,7.0,79.96,R. Iyer,,,,,,,
1061,Silverline Collective,Home,Home & Family,51-200,Core ICP,52.27,Content/organic,2026-02-28,MQL,4.91,5.6,52.44,S. Kapoor,2026-03-03,,,,,,
1062,Cobalt Naturals II,Kitchen,Home & Family,1-10,Beachhead,75.45,Outbound LinkedIn,2026-02-11,MQL,6.18,7.0,69.72,A. Chouhan,2026-02-17,,,,,,
1063,Cobalt Works,Pet,Lifestyle & Outdoor,11-50,Adjacent,47.75,Outbound LinkedIn,2026-02-14,Lead,3.1,7.0,49.4,S. Kapoor,,,,,,,
1064,Meridian Living,Gadgets,Consumer Electronics,11-50,Core ICP,67.17,Outbound LinkedIn,2026-02-25,MQL,4.87,7.0,62.48,A. Chouhan,2026-03-02,,,,,,
1065,Opaline Works,Home,Home & Family,1-10,Beachhead,77.92,Content/organic,2026-02-01,SQL,7.17,2.8,61.08,R. Iyer,2026-02-05,2026-02-11,,,,,
1066,Aurora Studio,Outdoor,Lifestyle & Outdoor,51-200,Adjacent,36.55,Outbound LinkedIn,2026-02-10,Lead,4.62,7.0,49.48,S. Kapoor,,,,,,,
1067,Lumen Living,Gadgets,Consumer Electronics,1-10,Beachhead,76.0,Content/organic,2026-02-01,Lead,6.4,5.6,66.4,A. Chouhan,,,,,,,
1068,Amberlight Works,Kitchen,Home & Family,1-10,Beachhead,79.47,Referral,2026-02-16,SQL,7.79,7.0,76.16,R. Iyer,2026-02-21,2026-02-28,,,,,
1069,Ember Pet Supply,Skin,Health & Beauty,11-50,Beachhead,79.35,Outbound LinkedIn,2026-02-18,MQL,3.74,7.0,63.96,S. Kapoor,2026-02-19,,,,,,
1070,Silverline Outdoor,Pet,Lifestyle & Outdoor,11-50,Core ICP,63.75,Outbound LinkedIn,2026-02-04,MQL,9.5,2.8,62.4,S. Kapoor,2026-02-06,,,,,,
1071,Halcyon Gadgets,Baby,Home & Family,11-50,Beachhead,85.03,Cold email sequence,2026-02-08,Lead,6.01,5.6,68.84,A. Chouhan,,,,,,,
1072,Driftwood Works,Home,Home & Family,11-50,Beachhead,78.75,Signal-scored inbound,2026-02-02,MQL,9.5,5.6,76.8,S. Kapoor,2026-02-04,,,,,,
1073,Basalt Kitchen Co,Baby,Home & Family,11-50,Beachhead,82.55,Signal-scored inbound,2026-02-15,Lead,5.02,5.6,64.88,R. Iyer,,,,,,,
1074,Northfield Living,Gadgets,Consumer Electronics,1-10,Beachhead,73.38,Signal-scored inbound,2026-02-08,MQL,5.35,2.8,53.8,S. Kapoor,2026-02-10,,,,,,
1075,Pinehaven Living,Gadgets,Consumer Electronics,11-50,Core ICP,65.78,Outbound LinkedIn,2026-02-11,Lead,4.31,4.2,51.84,A. Chouhan,,,,,,,
1076,Ember Pet Supply,Skin,Health & Beauty,11-50,Beachhead,79.35,Cold email sequence,2026-02-12,MQL,3.74,2.8,51.36,R. Iyer,2026-02-17,,,,,,
1077,Opaline Baby Goods,Pet,Lifestyle & Outdoor,51-200,Adjacent,40.5,Signal-scored inbound,2026-02-01,Lead,6.2,5.6,51.6,S. Kapoor,,,,,,,
1078,Ember Goods Co,Beauty,Health & Beauty,1-10,Beachhead,92.47,Signal-scored inbound,2026-02-21,MQL,6.99,7.0,78.96,A. Chouhan,2026-02-24,,,,,,
1079,Marigold Gadgets,Baby,Home & Family,11-50,Beachhead,79.65,Signal-scored inbound,2026-02-26,MQL,3.86,5.6,60.24,R. Iyer,2026-03-02,,,,,,
1080,Solace Collective,Home,Home & Family,11-50,Core ICP,62.5,Signal-scored inbound,2026-02-13,MQL,3.0,7.0,55.0,S. Kapoor,2026-02-17,,,,,,
1081,Lumen Works,Home,Home & Family,1-10,Beachhead,72.5,Outbound LinkedIn,2026-02-22,SQL,5.0,5.6,60.8,A. Chouhan,2026-02-23,2026-02-25,,,,,
1082,Pinehaven Works,Skin,Health & Beauty,11-50,Beachhead,81.45,Signal-scored inbound,2026-02-13,Lead,4.58,4.2,58.92,R. Iyer,,,,,,,
1083,Rosemere Skin Co,Skin,Health & Beauty,1-10,Beachhead,91.22,Cold email sequence,2026-02-22,SQL,6.49,5.6,72.76,S. Kapoor,2026-02-27,2026-03-07,,,,,
1084,Driftwood Baby,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,52.83,Outbound LinkedIn,2026-02-12,Lead,3.13,7.0,51.52,R. Iyer,,,,,,,
1085,Solace Supply Co,Home,Home & Family,11-50,Beachhead,72.1,Signal-scored inbound,2026-02-24,Lead,6.84,2.8,57.76,S. Kapoor,,,,,,,
1086,Rosemere Works,Outdoor,Lifestyle & Outdoor,1-10,Core ICP,60.12,Signal-scored inbound,2026-02-12,SQL,6.05,4.2,54.8,A. Chouhan,2026-02-18,2026-02-26,,,,,
1087,Cobalt Gadgets,Kitchen,Home & Family,51-200,Core ICP,55.8,Outbound LinkedIn,2026-02-10,Lead,6.32,4.2,53.88,R. Iyer,,,,,,,
1088,Glow Ritual Beauty,Outdoor,Lifestyle & Outdoor,11-50,Core ICP,53.05,Signal-scored inbound,2026-02-25,Lead,5.22,2.8,45.28,S. Kapoor,,,,,,,
1089,Windrow Collective,Gadgets,Consumer Electronics,51-200,Core ICP,54.1,Content/organic,2026-02-25,Lead,5.64,2.8,46.96,R. Iyer,,,,,,,
1090,Aurora Outdoor,Home,Home & Family,11-50,Beachhead,72.5,Cold email sequence,2026-02-02,Lead,7.0,7.0,71.0,S. Kapoor,,,,,,,
1091,Wren & Co Goods Co,Kitchen,Home & Family,51-200,Core ICP,58.73,Referral,2026-02-24,Lead,7.49,2.8,54.36,A. Chouhan,,,,,,,
1092,Hearthstone Supply Co,Home,Home & Family,1-10,Beachhead,73.0,Signal-scored inbound,2026-02-01,Lead,5.2,4.2,57.4,R. Iyer,,,,,,,
1093,Meridian Baby,Baby,Home & Family,1-10,Beachhead,84.55,Outbound LinkedIn,2026-02-14,MQL,3.82,2.8,53.68,S. Kapoor,2026-02-15,,,,,,
1094,Rosemere Skin Co II,Home,Home & Family,11-50,Beachhead,71.28,Cold email sequence,2026-02-13,Lead,6.51,7.0,69.04,A. Chouhan,,,,,,,
1095,Cobalt Naturals III,Baby,Home & Family,1-10,Beachhead,97.53,Outbound LinkedIn,2026-02-08,MQL,9.01,2.8,74.44,A. Chouhan,2026-02-12,,,,,,
1096,Rosemere Baby Goods,Pet,Lifestyle & Outdoor,1-10,Core ICP,60.48,Cold email sequence,2026-02-13,Lead,6.19,4.2,55.36,R. Iyer,,,,,,,
1097,Pinehaven Baby,Kitchen,Home & Family,1-10,Beachhead,75.45,Signal-scored inbound,2026-02-26,SQL,6.18,5.6,65.52,S. Kapoor,2026-02-27,2026-03-06,,,,,
1098,Thistle Collective II,Baby,Home & Family,11-50,Beachhead,92.17,Referral,2026-02-09,Lead,8.87,2.8,71.88,R. Iyer,,,,,,,
1099,Meridian Collective,Beauty,Health & Beauty,1-10,Beachhead,88.72,Signal-scored inbound,2026-02-02,Lead,5.49,2.8,60.36,A. Chouhan,,,,,,,
1100,Amberlight Studio II,Skin,Health & Beauty,1-10,Beachhead,84.03,Outbound LinkedIn,2026-02-28,Lead,3.61,4.2,57.04,R. Iyer,,,,,,,
1101,Hearthstone Goods Co,Beauty,Health & Beauty,201-500,Core ICP,63.55,Outbound LinkedIn,2026-02-21,Lead,7.42,7.0,68.68,S. Kapoor,,,,,,,
1102,Ember Living,Kitchen,Home & Family,51-200,Adjacent,47.5,Outbound LinkedIn,2026-02-08,Lead,3.0,4.2,40.6,R. Iyer,,,,,,,
1103,Coral & Co Gadgets,Skin,Health & Beauty,51-200,Beachhead,71.85,Content/organic,2026-02-06,Lead,6.74,7.0,69.96,S. Kapoor,,,,,,,
1104,Lumen Baby,Baby,Home & Family,11-50,Beachhead,78.95,Referral,2026-02-12,Lead,3.58,5.6,59.12,A. Chouhan,,,,,,,
1105,Rosemere Baby Goods,Pet,Lifestyle & Outdoor,1-10,Core ICP,60.48,Outbound LinkedIn,2026-02-16,MQL,6.19,7.0,63.76,R. Iyer,2026-02-18,,,,,,
1106,Wren & Co Home Co,Gadgets,Consumer Electronics,11-50,Beachhead,70.55,Outbound LinkedIn,2026-02-07,Lead,6.22,4.2,59.48,S. Kapoor,,,,,,,
1107,Wren & Co Goods Co II,Gadgets,Consumer Electronics,11-50,Beachhead,74.03,Signal-scored inbound,2026-02-25,Closed Lost,7.61,4.2,65.04,A. Chouhan,2026-02-26,2026-03-03,2026-03-13,700.0,2026-03-25,Lost,Went with in-house fix
1108,Marigold Goods Co,Kitchen,Home & Family,201-500,Adjacent,41.02,Cold email sequence,2026-02-25,MQL,4.41,7.0,50.64,R. Iyer,2026-03-02,,,,,,
1109,Glow Ritual Works,Gadgets,Consumer Electronics,11-50,Core ICP,63.88,Signal-scored inbound,2026-02-26,MQL,3.55,2.8,44.6,S. Kapoor,2026-03-01,,,,,,
1110,Ember Beauty II,Pet,Lifestyle & Outdoor,1-10,Core ICP,53.58,Content/organic,2026-02-14,Lead,3.43,5.6,48.52,A. Chouhan,,,,,,,
1111,Verdant Beauty,Home,Home & Family,1-10,Beachhead,71.72,Signal-scored inbound,2026-02-06,MQL,4.69,7.0,63.76,R. Iyer,2026-02-12,,,,,,
1112,Meridian Beauty,Skin,Health & Beauty,201-500,Core ICP,60.08,Signal-scored inbound,2026-02-07,MQL,6.03,5.6,58.92,S. Kapoor,2026-02-10,,,,,,
1113,Northfield Works,Outdoor,Lifestyle & Outdoor,11-50,Core ICP,55.42,Signal-scored inbound,2026-02-27,MQL,6.17,4.2,53.28,A. Chouhan,2026-03-05,,,,,,
1114,Opaline Home Co,Skin,Health & Beauty,11-50,Beachhead,89.8,Outbound LinkedIn,2026-02-18,Lead,7.92,2.8,68.08,R. Iyer,,,,,,,
1115,Larkspur Living,Pet,Lifestyle & Outdoor,1-10,Core ICP,61.67,Content/organic,2026-02-20,MQL,6.67,7.0,65.68,S. Kapoor,2026-02-23,,,,,,
1116,Larkspur Kitchen Co,Beauty,Health & Beauty,1-10,Beachhead,82.5,Outbound LinkedIn,2026-02-05,Lead,3.0,7.0,63.0,A. Chouhan,,,,,,,
1117,Coral & Co Baby,Skin,Health & Beauty,11-50,Beachhead,84.72,Cold email sequence,2026-02-12,SQL,5.89,7.0,72.56,R. Iyer,2026-02-18,2026-02-22,,,,,
1118,Cobalt Naturals IV,Kitchen,Home & Family,11-50,Core ICP,68.22,Cold email sequence,2026-02-17,Lead,5.29,7.0,64.16,S. Kapoor,,,,,,,
1119,Coral & Co Outdoor,Gadgets,Consumer Electronics,1-10,Beachhead,76.17,Signal-scored inbound,2026-02-19,MQL,6.47,5.6,66.68,A. Chouhan,2026-02-22,,,,,,
1120,Aurora Skin Co,Beauty,Health & Beauty,51-200,Beachhead,71.33,Signal-scored inbound,2026-02-17,MQL,6.53,4.2,60.72,R. Iyer,2026-02-21,,,,,,
1121,Amberlight Kitchen Co,Pet,Lifestyle & Outdoor,1-10,Core ICP,54.77,Outbound LinkedIn,2026-02-14,MQL,3.91,5.6,50.44,S. Kapoor,2026-02-15,,,,,,
1122,Hearthstone Baby Goods,Home,Home & Family,1-10,Beachhead,79.22,Cold email sequence,2026-02-01,Lead,7.69,2.8,63.16,A. Chouhan,,,,,,,
1123,Glow Ritual Pet Supply,Pet,Lifestyle & Outdoor,1-10,Core ICP,60.73,Cold email sequence,2026-02-02,MQL,6.29,7.0,64.16,R. Iyer,2026-02-03,,,,,,
1124,Rosemere Works II,Baby,Home & Family,51-200,Core ICP,67.72,Outbound LinkedIn,2026-02-01,MQL,5.09,5.6,59.16,S. Kapoor,2026-02-03,,,,,,
1125,Lumen Baby II,Outdoor,Lifestyle & Outdoor,201-500,Poor Fit,29.57,Signal-scored inbound,2026-02-11,Lead,5.83,4.2,41.92,A. Chouhan,,,,,,,
1126,Cinderwood Skin Co,Kitchen,Home & Family,11-50,Beachhead,71.28,Cold email sequence,2026-02-06,MQL,6.51,7.0,69.04,R. Iyer,2026-02-09,,,,,,
1127,Tiny Sprout Studio,Pet,Lifestyle & Outdoor,51-200,Adjacent,38.02,Outbound LinkedIn,2026-02-18,Lead,5.21,7.0,51.84,A. Chouhan,,,,,,,
1128,Northfield Home Co,Baby,Home & Family,11-50,Beachhead,85.8,Signal-scored inbound,2026-02-23,Lead,6.32,4.2,65.88,R. Iyer,,,,,,,
1129,Halcyon Studio,Baby,Home & Family,11-50,Beachhead,85.9,Outbound LinkedIn,2026-02-25,Lead,6.36,5.6,70.24,S. Kapoor,,,,,,,
1130,Larkspur Naturals,Pet,Lifestyle & Outdoor,11-50,Core ICP,58.85,Signal-scored inbound,2026-02-26,MQL,7.54,7.0,67.16,A. Chouhan,2026-03-02,,,,,,
1131,Amberlight Gadgets,Skin,Health & Beauty,1-10,Beachhead,92.17,Signal-scored inbound,2026-02-05,Lead,6.87,2.8,65.88,R. Iyer,,,,,,,
1132,Amberlight Kitchen Co II,Kitchen,Home & Family,11-50,Core ICP,63.65,Outbound LinkedIn,2026-02-27,MQL,3.46,2.8,44.24,S. Kapoor,2026-03-04,,,,,,
1133,Larkspur Naturals,Pet,Lifestyle & Outdoor,11-50,Core ICP,58.85,Cold email sequence,2026-02-20,Lead,7.54,5.6,62.96,A. Chouhan,,,,,,,
1134,Driftwood Works,Home,Home & Family,11-50,Beachhead,78.75,Signal-scored inbound,2026-02-17,SQL,9.5,5.6,76.8,S. Kapoor,2026-02-21,2026-02-26,,,,,
1135,Wren & Co Beauty,Kitchen,Home & Family,1-10,Beachhead,75.22,Signal-scored inbound,2026-02-02,Lead,6.09,7.0,69.36,R. Iyer,,,,,,,
1136,Aurora Home Co,Baby,Home & Family,11-50,Beachhead,83.62,Signal-scored inbound,2026-02-21,MQL,5.45,7.0,70.8,S. Kapoor,2026-02-22,,,,,,
1137,Aurora Naturals,Skin,Health & Beauty,201-500,Core ICP,57.48,Outbound LinkedIn,2026-02-26,Lead,4.99,7.0,58.96,A. Chouhan,,,,,,,
1138,Lumen Beauty,Skin,Health & Beauty,11-50,Beachhead,83.2,Signal-scored inbound,2026-02-21,MQL,5.28,7.0,70.12,R. Iyer,2026-02-25,,,,,,
1139,Meridian Beauty II,Kitchen,Home & Family,11-50,Beachhead,70.97,Referral,2026-02-16,Lead,6.39,7.0,68.56,S. Kapoor,,,,,,,
1140,Thistle Baby,Skin,Health & Beauty,1-10,Beachhead,85.88,Cold email sequence,2026-02-25,MQL,4.35,2.8,55.8,A. Chouhan,2026-02-28,,,,,,
1141,Wren & Co Goods Co,Kitchen,Home & Family,51-200,Core ICP,58.73,Signal-scored inbound,2026-02-02,Lead,7.49,5.6,62.76,R. Iyer,,,,,,,
1142,Marigold Collective,Gadgets,Consumer Electronics,11-50,Core ICP,69.08,Outbound LinkedIn,2026-02-17,MQL,5.63,7.0,65.52,S. Kapoor,2026-02-18,,,,,,
1143,Windrow Home Co,Pet,Lifestyle & Outdoor,11-50,Core ICP,56.92,Cold email sequence,2026-02-06,MQL,6.77,2.8,51.48,A. Chouhan,2026-02-10,,,,,,
1144,Cobalt Beauty,Pet,Lifestyle & Outdoor,51-200,Adjacent,41.05,Outbound LinkedIn,2026-02-07,MQL,6.42,7.0,56.68,R. Iyer,2026-02-13,,,,,,
1145,Larkspur Living,Pet,Lifestyle & Outdoor,1-10,Core ICP,61.67,Signal-scored inbound,2026-02-28,MQL,6.67,7.0,65.68,S. Kapoor,2026-03-06,,,,,,
1146,Wren & Co Works,Gadgets,Consumer Electronics,1-10,Beachhead,80.42,Referral,2026-02-22,Lead,8.17,4.2,69.28,R. Iyer,,,,,,,
1147,Pinehaven Home Co II,Beauty,Health & Beauty,1-10,Beachhead,89.42,Signal-scored inbound,2026-02-26,MQL,5.77,7.0,74.08,A. Chouhan,2026-02-27,,,,,,
1148,Marigold Gadgets,Baby,Home & Family,11-50,Beachhead,79.65,Cold email sequence,2026-02-06,MQL,3.86,4.2,56.04,R. Iyer,2026-02-10,,,,,,
1149,Ember Home Co,Gadgets,Consumer Electronics,11-50,Beachhead,71.88,Cold email sequence,2026-02-08,Lead,6.75,7.0,70.0,S. Kapoor,,,,,,,
1150,Hearthstone Pet Supply,Kitchen,Home & Family,11-50,Core ICP,63.95,Referral,2026-02-26,MQL,3.58,4.2,48.92,A. Chouhan,2026-03-04,,,,,,
1151,Glow Ritual Beauty II,Kitchen,Home & Family,1-10,Beachhead,83.75,Referral,2026-02-27,Lead,9.5,7.0,83.0,R. Iyer,,,,,,,
